Order_ID,Date,Product,Category,Region,Quantity,Unit_Price,Total_Sales
1001,2026-01-05,Laptop,Electronics,North,2,55000,110000
1002,2026-01-08,Smartphone,Electronics,South,5,25000,125000
1003,2026-01-12,Office Chair,Furniture,West,8,6500,52000
1004,2026-01-18,Desk,Furniture,East,4,12000,48000
1005,2026-02-03,Laptop,Electronics,South,3,55000,165000
1006,2026-02-10,Headphones,Accessories,North,10,2500,25000
1007,2026-02-15,Smartphone,Electronics,West,4,25000,100000
1008,2026-02-21,Office Chair,Furniture,East,6,6500,39000
1009,2026-03-02,Monitor,Electronics,North,5,18000,90000
1010,2026-03-07,Desk,Furniture,South,5,12000,60000
1011,2026-03-14,Headphones,Accessories,West,12,2500,30000
1012,2026-03-20,Smartphone,Electronics,East,6,25000,150000
1013,2026-04-04,Laptop,Electronics,West,2,55000,110000
1014,2026-04-11,Office Chair,Furniture,North,9,6500,58500
1015,2026-04-19,Monitor,Electronics,South,4,18000,72000
1016,2026-04-27,Desk,Furniture,West,3,12000,36000
1017,2026-05-06,Headphones,Accessories,East,15,2500,37500
1018,2026-05-13,Smartphone,Electronics,North,7,25000,175000
1019,2026-05-22,Office Chair,Furniture,South,7,6500,45500
1020,2026-05-29,Laptop,Electronics,East,4,55000,220000
